0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
101001010010010001;100010010000000000;000000001001000000;100000000011000000;101000100000000000;110000000000001100;100010000000001000;000010000100000010;000000000001001000;100001000000010000;000000000010101010;110010000000000000;001010000000000000;100100000000010000;101010000000000000;000100010110000000;100000100001000000;000100010101001010;000101100000001000;010000000000001000;101010000000000000;001001000000000000;001000000000000010;000000000000010010;110000000101000110
010100101111011000;101100000000000000;000010000000010000;010000000001000000;110000000000010000;000000000010000001;110000000000001100;000000000101000000;000100000000001000;000001000011010000;010000000000000001;100000000010000111;100000000100000000;100001000010000000;010100100100000010;000000000001000100;000000000000110010;001000000000001000;100100010000000000;001000000000000000;001010000000000000;110000000000101001;110000000010000001;101100100010000000;100000000000101101
111010011010111100;101100000000000000;011111000001110000;011000000000000000;101000001000000000;000000100000000000;000100000000010000;000001101000100000;000000000000010000;000000000010001000;100000100000001000;100001000000000100;100000000100100000;100000000100000001;100000010000000000;100001000000100000;100000000001010000;000100000000010000;100010000010000000;100000000000110000;100000000000101000;000000101001000010;000000000100001000;000000000011000000;000001000000100000
110111000100100100;111101000110100010;000000000010010000;011111000001110000;100000100100000000;000000010000010000;100000010000100000;001100011011000000;000000000110000000;110000000000000000;000110000000000000;100000000100000000;100001000000000100;000100000000001000;100100000000000000;010000000000000000;000100010000001010;101000000000010100;000000000000011000;100110100101000000;000100000000010000;101010000000000000;100001010001000000;000000000000000000;101101100010010000
010001000001111010;101000000011001101;100011110111110101;000000000001001000;100010000000000010;000010000000100000;111000100000000100;000100000000001000;101100000000000000;000000010000001101;000000000000101000;000000000000010100;000100100000000000;000000000001000000;000000000000000000;001000000100011101;101000000000000000;100010000000100000;100000000000001010;000010001100000000;110000000001000000;100010000000000010;101000000101001000;000000000001000110;010001000000000000
111010110100110100;001000000000000100;100000100010000000;000000100000000000;011000000001000110;100000000010001000;010010000000000000;000000000001100000;000000000100000010;000000001001000000;100000100001010000;001100000000000000;100101000000000000;000010001000110000;000100000000000001;100100000100000000;111000000000010000;000000000000011000;100000000100010000;000000100001011000;000100000010011000;000100000101000001;110100000000100010;000000000000110000;101000000001000000
000101100100000111;000000000000010100;000000000001010000;100000000100001000;000101100110101101;100000000000010100;000000000000100010;100000000000100001;000000000001000001;110000000000000000;000000000000000001;110100000000000001;001000000110000000;100000000001000010;110000000000000010;001010101000000000;000000000000011000;010000000000100010;000010000000010000;000000001000000010;100000010001000000;001000000000000000;101000100000000000;000010000000010000;100000000000000100
100000010001111010;101001111111011111;000001001000000100;000000000001000010;000100000000000010;001001000111100001;100000000101000000;101000000000010010;000100000000000100;100010000000100000;100000000100100000;100011000010100000;010000001000000000;001000000000000000;001100000110101000;100100000000000100;100000010000001000;100000100000010000;010100000000100000;000000110110100100;110100000100000100;000000100001000000;100100000000000000;100000000001100000;001000000100000010
000110001011100100;000000100000100000;100001000000000010;000000000110100100;000010000000000100;110000000000010000;101001000001000110;100000000100000000;000001000000000001;000000100000000010;000000100000100000;100010000001000000;100000000101000000;100110100000001110;000000000000000100;111000000000010000;000000010000000010;110000010001001000;100001100000000000;000000000000001100;100100000000000100;001101010001000100;110100101000000100;100000000000110000;010010000000000000
101010101001010111;010111100111001001;101000000100000000;000100100101101011;110001000000000000;001000000000100000;100000000000001100;100000000000000001;000001000100000000;001100000000000000;010000000001000000;100000100000100000;100010000001000000;111100010000010000;000100000100000000;101000100000000000;000000100000000000;101000000000001000;100000000001001000;010000000011000001;000000000000001000;110100000100000100;010000000100000000;000010000001000000;100000000011100000
010110011111010100;100000000000101000;010000000000001000;000000001000010000;100000010100000000;010000010000000000;110000000000000100;001110010000000000;100001000010000000;100000000100000000;100100010000000000;000010000000000100;111011100110101000;100000000000111010;000000000100000010;000010100000110011;000011000000000000;100100010000000000;100100000100000000;000011001010101100;101000000000100000;100100000000000001;100000000000110000;001101000000100000;100001100000000000
101111000110100001;100000010111111101;100100000000111001;001000000011000110;000010100000000000;100000000001010100;000000010000010000;101100000010000000;101000000010000000;111000000100001100;000001000000000000;000100001000000000;010000000000001000;101010010010000000;001000000001000000;100101000000000000;000100000001000000;100000010000001000;000000000110000000;100000000101000000;100010000001000000;100001000000101000;000000100100000000;010100000000000110;000000000100010000
000101100110100110;100000000001001000;101001110001000000;100000100000000100;101000000000000010;000000000100010000;101100000010000000;000000010100000000;000100100010000000;010010000000000000;100000010100000101;110000001000000000;001000101000010000;001000000000000000;000000001001000000;000000100000000001;000100000100000000;000000000000010100;100000000001010000;110000100000000000;000000000100000100;100000100100000000;100000010000010010;000000010000000000;000100000000000000
111111111000101011;000101100100100110;010100000000100100;010101000000100010;000100000010100010;100000000000000100;000000100000010000;101000000000010000;000000100001000000;101100000010000000;000001010000000000;100000000001011000;100101000000000000;100000100001010000;100000000000000010;000100000010000000;000010000000100000;001000000100000000;100000000110000100;100000000101000000;000000100010000000;000110000001010000;111000000000000000;100001010000110000;000000000011000000
001111110100001000;001001110001000001;100000100101001011;101100000000000000;001000000001000000;110000100001110010;000000000010010000;000000000001001000;100000000001000100;100000011000101000;000000000100000000;010000000000100000;000001000000010110;001100000000000000;000000000010001000;110011000000000100;011011000100000110;000100100101000000;000000010000010000;100010000001000000;000101000000000000;000011000101100001;110100000100000100;100000000000010010;000000000001000010
110001011101101111;010000000001000000;100000000000100010;010000000000100000;100010000011000000;100000100000000100;110000001000000000;100000001001000000;000000010011100010;100001000001001010;101000000000000100;001101100000010010;010000000100000000;000100000100000000;000110100001000000;000000000000111100;101000100000000000;100001100001100000;110000010001001000;011100000110000000;100000000010000010;100001010001000000;110000000001000000;100000000100000000;110100000000100000
001000000111001001;100100000000010000;111111100011111111;000000001001000000;001001000000011000;000000000000001100;100000000100101000;101000000010000000;100000000101000000;000001000000000000;000100100000000000;001001000000001001;000000000000001000;000100001000011010;110000001000000000;100000011100001000;110011000000000001;111010100000000000;110000010000000000;100000010000100000;100000100010000000;110010000000010010;100000000001000110;001000000000100110;001000000000000100
000111111101111000;110000100111111001;000101100000100000;100000100100000000;010001000100000010;100000000001000100;000010000000000000;100000000000101000;011010000101001000;100001000010000000;000000001000010000;100000011001011000;000101000011000100;001000010000000000;100100000001001000;000000010000100000;100001000000010000;100000000000100010;000100000000000010;100010000000000100;100010000000000100;000000000000101000;010000000000000010;110001000000000000;011110001001001000
001111100000111010;000011000000000000;110111011111001000;101000000011011101;000000010100000000;000010000000000000;110000000010100000;000000010000011110;101000000000010000;110100000001100100;000011000000000000;101100100000000010;000000000100100000;100010000000000100;010000010000000000;100001000001000000;011000000001101010;100000000000101000;000000000000100100;111110000000100010;100001010001000000;100000000000000001;100000000000000001;110000000000000100;000000000010001000
110011101011100011;001000100110110110;010000000001000000;001000000000001000;100000100001000000;000000000001000010;000010000001100010;001011010000010000;100000000101000000;010000000000001000;111000000000000000;100000100000001000;111000100010000010;000100000110000000;001000000100001000;010010000011000010;010000000000000100;100001000100000000;100000000010010000;100000000001000000;100010000000000100;000000000000001000;100001000000101000;000000000001101000;100100100010100000
100100000001100111;110100000000011001;110000000000000100;110100000100010101;000010000000000000;100000000000001100;000000000000010000;100000000011000000;100001000000001000;111011000110001000;000100000100011000;100000000101000000;110100000000011000;000000101000000000;100000000001000100;000000100010000000;100000100010011000;101000000000001000;100001000000010000;000000000010010000;100000000000011001;000100110100000010;111001001010001000;110000000100000100;000101000000000010
000001011111111111;110001110111010110;011000000000010001;000000000001010000;101000000010000000;000100000100110010;100000000001001000;100000100001000000;100001000001001010;000000000010110010;101100000100001001;111011000110001000;000001000000100000;000100000000000010;000000100000100000;000000000100100000;101000000000001000;000100100101001000;010000000010000000;100010000010000000;000110000001010000;100000100010000000;000110000000000000;100000100010000011;100000000000001000
011100000100100110;001000000100000000;100000000100001000;000100000001000000;000010000000000110;000100110000000010;001000010001000000;001000100000000000;010000000001000000;000000000100100000;001100001000010000;100001000000000010;110100000000000000;100000100010000000;000110001000001000;000100000000001000;110000000001000000;000000001000001000;000000010010000011;110000000000001000;100101000000001000;100000110000000000;100001000010000000;000010000000000010;000000000100000001
010110011001101110;010000000000100000;000000000001000010;110000010100000000;000000000010000001;101000000000010000;001000000100000000;000100100000000000;001000100000000000;000000000110000000;001100000000000000;100000000001011000;101000000000010000;001000010001101000;101000000001000000;100001110000000001;100000000000010000;000000000010000010;100000100010000000;001000100000000000;000000000000000010;100000100010000000;000100001000000000;100001000000001000;010000000000001000
