0;1;2;3;4;5;6;7;8;9
001001011100100101;100100000001000000;110000001000000000;100000100001000000;100000000001101000;001001000000000000;100000000000010100;000000001000000001;011000000001010001;010000000001011001
001100110001100001;000000101011011100;011100010111011001;100010001101000000;000000000100011001;000010010000000000;101000010000000000;000100000000000001;001000000000000100;100000000100100000
000101111010110000;011011001111110110;000111000110000011;100000010001101100;100000000000100010;101000100010001000;010000000000100000;000000000100001000;011001100110000011;100000000001010000
100110000101110100;000000100000000000;100010000000000000;100011000000000000;000001100010011000;100010001000000000;000000100000110011;101000000100000000;001000000000001000;100001000000100010
000110101111100110;100001000000001000;011110011000010001;100000000001000010;010000100000000000;101000000010000000;000000010100001100;010001000001011000;110000000001000000;001000000001101000
111111000110000011;000100001111110110;111000111011001100;000000000001000000;010000000000001000;001001110000100000;000000000000000011;000001100000000000;101000000000010000;000010000000110010
001000001001010111;100000000101001000;011101110000111110;100010000000000000;000000000110000000;000000101101011000;000000100000000100;100000110000000000;000000010000000010;110010100010100000
100111011010101011;001100011110111000;100111000100001001;000000000000000010;010000000100000000;000101000000000000;010001100000100001;001000000010000000;010000000010000000;100001100000000000
101010100001111111;011111100001101110;000110001001001000;000000001000010000;110001000000000000;100010000010000110;101000001000000000;000001000000000000;001000000000000010;000100100000000000
011011001010001110;000000000110000000;110000111010000001;000010010000000101;111001110000011010;101100000111100000;100010000000000001;100100001100010101;101000000010110000;100001000000001000
001111100001110111;000000000000000000;100000001010000000;001001110011000001;100100000001000000;100000000000100010;000000000000000000;100011001000000000;111001100001000000;000100100100000100
111000101011001001;011000010000101101;010000000001010111;000000000010000000;000000001001000000;100100000001000000;000000100001000000;000000000010000000;000000100111010000;100010000000100000
000110111000011111;101100001001101001;100000000000001100;110000000000011001;101100011000011010;000000000000001100;100100000000000000;100100011110000100;100000000001000010;100000010001101000
001110111111011001;110000101001111100;100000000010000000;111000001001111000;100000010100010100;101100000000000000;000000100100101101;110001001001000100;100000100000100000;101001000000000000
101010001010001111;011010010010111001;000000010000000000;010100111001010001;001000001000000000;100000001100000000;100001000000100000;000000010000000001;010000000000001000;100000000001100000
110010111010111001;101000000100000000;000101000000000000;100000100001000000;100000000000101010;000010100000000000;100010010100000010;100100000000001000;000001000100100001;000100000000001000
111110001001100111;000000010010000000;100110000000000000;000010010001000001;010110000000101010;000000000100100000;100000100001000000;110100000000010000;100010000001000000;010001001110100000
001111001011001111;100000100000000100;000010000011010100;100010000000001000;100100000000010000;101000000000100000;001000010000000000;100000100000001000;100010010000000000;001100000000110000
000110100001101110;011110000000011111;000000000000100000;000000010000000010;111100110000000110;100000000000000000;010000000001010100;000000000000000000;100000000001000001;000001100000000011
010001011101110001;001000000000000100;000010000001011010;000000000010000100;000000001011100010;110001000000000000;100001000100000000;010010000000000000;100000001100000000;010010010000010001
