0;1;2;3;4;5;6;7;8;9
010000110011011000;001011000011000000;000000000110000000;100000000010010000;100000000000001000;010000000000000100;100110000000110011;000001000000000100;001100001010010000;101001000100100000
110110010110100011;000010000000001000;000000000000100010;000000000010010000;010000000001110001;100011000000000000;100000100100000000;000000000001000000;001000011100100010;100100000001010010
001001110011111110;000000000010100000;000000100000000010;100000010000000001;100100000000001000;000100100000000000;000000010010000010;000110000000010000;000000000000100100;000000111011000100
101010101010001000;000000000100100000;010000100010100100;100000000010000010;001000000000001000;000000000111010000;000000000000010001;000101100000100100;100100100000000000;101000000011010000
010100100110011000;101101011100011100;100000100000010000;000101000000000000;100001000000100000;100001000100000000;100000000001100000;100110000101100000;000100000000000010;100000010000100000
011100010101000110;010000000000000000;001111100011101010;000000000001000000;000000000010000100;100000000001100000;000000001000100000;110000000100000000;110000110100000100;001000100000000000
100111000001101100;100000000000110000;100000001000001000;100100000000010000;011110000010101010;000001000000010000;000000100000000100;000001000000000000;101001000000000000;101010000011000101
100000111100100000;000000000001100000;001000000110000000;000000000010000100;000000000010000000;100001000000001010;000001000000010000;000101000000000100;000101000000000000;000000000000001001
100001000011011100;000000000010000100;000001000000000000;101000000000000010;101000000000000010;100001100100000000;100000000000101000;000001000000000000;110000000000000001;010100000000000000
011111111110101100;100000000010010000;000010000100000000;010000010000101001;100001100000000000;000000000000010100;000000000001000100;000001000001000000;110001000000000000;100110100100010000
100101000010000010;000000001100000000;010011100110100000;000000000011000000;000000000000001000;100000000000100010;101010000000000000;000001000100100000;010000000000000100;100000010000000010
000011000110111100;000000110001110100;100001000000000000;100000000010000100;001100000000000111;000100000010000000;111000110000000001;000000010000000010;000101001001000100;100000010100000000
000101010110000010;001000000011010101;101000010000000000;011101100001100000;001010000000000000;100000000001000100;100001000010000000;000010001010001000;100100000000010000;000100100000000000
110011100111110011;101000000000000000;100010000000010000;000010001000000000;100000000010100000;110000010000000000;000000010000100000;000101000010000010;100010000011001000;110000000000000000
010110000110011101;100110000000000000;100010100000000000;101100000000000000;101000000000100000;100100010000000000;100000000000001000;100000000100000001;000100000000100000;010000000000100100
101011110001011010;100000000000011000;100001100000000000;000010010000000000;000000010100000000;100001000000001000;110000000100110000;000000000001100000;000000011000000000;000000000000101000
111100101001010110;011011010101110010;110000000000000000;101000000000001000;000101000000000010;101000000000000001;000100000000100000;100010100000000000;001000000000000100;001001000001010000
001110000010111110;001100110110110011;010000000000001000;000000000000010000;100000000000010000;000000001000100000;000000000000010000;100001000010000000;100000100000000010;100001000001000000
011110000101100100;100111000001101100;010000000000001000;100000000000000000;100000000000010100;110000001011000000;100000000010100000;000000000000001000;100000000100000001;001000000110001000
000111111011010100;010000010000000000;000000000011000000;000000000000001001;111101000000000010;010001000000000000;111010000000000000;001010100010001100;000010000110001000;000000100101000000
011010000010011000;010000000000001000;000100000010000000;100100000100000000;101010000000000000;110000100110000000;100010000100000000;100001000000010000;000000100000001000;110000010100100000
001110110011100100;110000000010000000;010111000110010110;000001000000100000;000000000000110000;100000100000010000;000000000000001100;011000101111100000;100010000000001000;100000010010000100
000000111001100000;100000000000101000;000000100000000010;110000000001000000;000100000001000000;000001100000100001;100000000001000010;000000000000000110;100100000110110000;100010101000010001
010010011010000101;111010011110100111;000001100000000001;001000000000000100;100000000010000100;100000100000000100;100010000001100001;000100000100000000;100100001000000000;101100000001000000
000110101010000011;101010000011111010;110000000000010000;010000010001001110;101001000000000010;000101000000000000;111000000000000000;001100000000100001;100001000000000000;100100000100000000
100011101101011101;100000000000100000;000001000000000000;001000100000101100;001000001100010000;000100100000100000;100010001000000100;001000000000000100;001001000000001000;100000100000100000
101111011110110000;100010000000010000;101111000001000010;000000100010000001;010100000000100000;000000010001000100;000110100001001000;010000100000000000;000111000001000000;000000000101001100
010100010110111000;100100000010000000;000100000101010100;000000100001000000;100000000100100000;100000010000010000;001000000100010100;100000000100100000;000100000000100000;110000000000011000
100111101001001111;100010000011110100;000010000010000000;100010000010000000;000100000001000000;000000000100000000;010110010100100010;001000000000100000;000000000010100000;000100010001101100
101000011011001010;001010000000000000;001100001010100000;011010000000101000;100000000101000000;101000000010000000;100001101110000000;101000000000000100;000001000000001000;000100000010001000
010010010000110101;001101100010011101;000000000100000010;010010000000000000;000000000110100000;110100000000000100;111110000011000000;101000000100000000;100000000000000100;101000000000000000
011000111100101010;000000000100001000;100000000000010000;001000000000010000;000000000000101000;000111000001000100;100000000001010000;000111000011100110;000101100010100000;010000000000001000
110111010111010101;000000000000100000;000001100000010000;100000000000000100;000000000001000000;100010000000100100;110100000001100000;110010100010000001;000100010011101000;100100000000000001
010010010010111010;000001001001110100;101101001010001000;010110100100000111;000000000010000000;100000010000000100;000010000010000000;100000000000000101;100110000011010000;101100100000010000
001001100111110001;100010000010000000;100001000000001000;100001000000000100;100010000011100000;110011000000010000;110011000110000010;111110001010010000;100000011001001000;100000000000010100
100011010010011101;010010000111111000;100100000100000000;000100000010010011;100100000000001000;100010001010000010;000000100000010000;100001000000010000;000100000000000001;100001010000100010
111000100010010010;000100000000001000;100110000000001000;000010010000000000;100000010001000000;000000000100001000;000001000000000010;001010000000000000;100100000000001000;100100000001000000
101010010010000110;100000000100001000;000010000010000000;000000000010110000;110001011010000000;000000000010001010;100101000101001000;001000000000000001;100000100000100000;000010000010000000
111101001110101100;000010100000000000;000010000000000001;010000000010000000;000010000000010000;000000000101000000;101000000001000000;100100000000100000;100000000010000100;010000000000000100
111011100111000000;000000100000010000;000000100000010000;000101000000000010;100000000011000000;100000000101000000;100100001000000000;100010000000100100;100010000000001000;100100000000100000
100111010000100000;100010000000001000;010000100000010000;000001001000001010;110100000000110011;000100000010000000;000101000101001010;101010000000000000;000100100000000000;101000010000000000
101011010101010110;101111000010110011;100100010001101000;000000000100000000;100100000001000000;000000010000000010;000010000000000000;000001000000010000;001000010000010010;100001000000001000
101001100010010101;100000010000010000;100000100000000100;000010000000000100;000100101000100000;001101000000001010;000000000000000110;000000000100100000;000000011000000000;010001000100011000
101011001101010000;110000000000010000;000000010000000100;000010100011111000;000000000000000110;000000100000110000;100000000000001000;100000000010101000;100000110000000000;100000000000101000
000010011101000100;010000000100000001;001000000001000000;000000000000000110;010000100000000000;010000000001000000;100000000100001000;100000000000011000;000000001001000000;100000100000100000
010010100100101010;000000010000000000;000000001000010000;100000000001000010;000111000100101000;100011100010000010;000100000000100000;100000000100000000;100000000010000000;000001000000000001
